Skills,Experience (Years),Education,Certifications,Job Role,Projects Count,strength
"Cybersecurity, Networking, Ethical Hacking, Linux",9,PhD,AWS Certified,Cybersecurity Analyst,0,Strong
"NLP, TensorFlow, Pytorch",3,M.Tech,None,AI Researcher,10,Strong
"SQL, Java",0,B.Sc,AWS Certified,Software Engineer,6,Average
"Pytorch, Python, TensorFlow",0,PhD,Google ML,AI Researcher,6,Average
"Machine Learning, Python",3,B.Tech,Deep Learning Specialization,Data Scientist,2,Average
"Linux, Cybersecurity, Ethical Hacking",10,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,3,Strong
"Python, Pytorch, NLP, TensorFlow",4,PhD,Deep Learning Specialization,AI Researcher,8,Strong
"Pytorch, TensorFlow",3,B.Tech,AWS Certified,AI Researcher,9,Strong
"SQL, Java",1,M.Tech,None,Software Engineer,0,Weak
"Networking, Cybersecurity, Ethical Hacking, Linux",4,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,4,Strong
"Ethical Hacking, Networking",9,B.Sc,Google ML,Cybersecurity Analyst,1,Strong
"C++, SQL, React, Java",6,PhD,AWS Certified,Software Engineer,9,Strong
"Deep Learning, Machine Learning, Python, SQL",10,PhD,None,Data Scientist,7,Strong
"Networking, Linux, Ethical Hacking, Cybersecurity",0,MBA,None,Cybersecurity Analyst,2,Weak
"NLP, TensorFlow, Python",3,B.Tech,AWS Certified,AI Researcher,9,Strong
"Pytorch, NLP, Python",2,B.Tech,None,AI Researcher,5,Average
"Java, SQL",8,M.Tech,Google ML,Software Engineer,8,Strong
"Linux, Cybersecurity",2,PhD,None,Cybersecurity Analyst,7,Average
"Deep Learning, Python, SQL, Machine Learning",0,PhD,None,Data Scientist,2,Weak
"Cybersecurity, Ethical Hacking, Networking",6,M.Tech,Google ML,Cybersecurity Analyst,10,Strong
"Python, NLP, Pytorch, TensorFlow",8,B.Tech,AWS Certified,AI Researcher,3,Strong
"C++, Java, SQL, React",10,PhD,None,Software Engineer,8,Strong
"React, Java",3,B.Sc,None,Software Engineer,0,Weak
"Python, Pytorch",5,MBA,Deep Learning Specialization,AI Researcher,10,Strong
"Python, Pytorch, NLP, TensorFlow",3,PhD,Deep Learning Specialization,AI Researcher,9,Strong
"Deep Learning, Python, SQL",2,PhD,Deep Learning Specialization,Data Scientist,3,Average
"Python, NLP, Pytorch, TensorFlow",0,B.Sc,Google ML,AI Researcher,3,Weak
"Python, TensorFlow, NLP, Pytorch",5,M.Tech,None,AI Researcher,7,Strong
"C++, React",9,MBA,None,Software Engineer,2,Strong
"Ethical Hacking, Linux, Networking, Cybersecurity",0,B.Tech,Google ML,Cybersecurity Analyst,5,Average
"SQL, Python",10,PhD,AWS Certified,Data Scientist,7,Strong
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,Google ML,Cybersecurity Analyst,8,Average
"SQL, Machine Learning, Deep Learning",4,B.Sc,None,Data Scientist,1,Average
"SQL, Java, React, C++",5,M.Tech,Deep Learning Specialization,Software Engineer,7,Strong
"React, SQL, C++",6,M.Tech,Google ML,Software Engineer,10,Strong
"Machine Learning, Python, Deep Learning, SQL",8,B.Sc,AWS Certified,Data Scientist,0,Strong
"Networking, Ethical Hacking",2,PhD,AWS Certified,Cybersecurity Analyst,7,Strong
"Python, TensorFlow, Pytorch, NLP",3,PhD,None,AI Researcher,8,Strong
"Linux, Cybersecurity",0,MBA,Google ML,Cybersecurity Analyst,8,Average
"Java, C++",3,PhD,Deep Learning Specialization,Software Engineer,7,Strong
"React, Java",5,MBA,None,Software Engineer,7,Strong
"TensorFlow, NLP",2,MBA,None,AI Researcher,10,Strong
"SQL, Java, C++, React",6,B.Sc,Deep Learning Specialization,Software Engineer,8,Strong
"Linux, Cybersecurity, Ethical Hacking",7,B.Tech,None,Cybersecurity Analyst,8,Strong
"Pytorch, TensorFlow, Python, NLP",4,B.Sc,Google ML,AI Researcher,5,Strong
"Python, TensorFlow",3,B.Sc,AWS Certified,AI Researcher,3,Average
"C++, Java",4,MBA,Deep Learning Specialization,Software Engineer,2,Average
"NLP, Python, TensorFlow",7,MBA,AWS Certified,AI Researcher,10,Strong
"Cybersecurity, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,3,Strong
"Ethical Hacking, Linux, Networking, Cybersecurity",6,B.Sc,Google ML,Cybersecurity Analyst,5,Strong
"Cybersecurity, Ethical Hacking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,7,Strong
"Cybersecurity, Linux, Ethical Hacking, Networking",3,MBA,Deep Learning Specialization,Cybersecurity Analyst,8,Strong
"Machine Learning, Python, Deep Learning",2,M.Tech,Google ML,Data Scientist,2,Average
"Linux, Ethical Hacking",4,B.Tech,None,Cybersecurity Analyst,7,Strong
"Cybersecurity, Networking, Linux",8,M.Tech,Google ML,Cybersecurity Analyst,4,Strong
"Java, SQL",2,M.Tech,AWS Certified,Software Engineer,10,Strong
"Networking, Cybersecurity, Ethical Hacking, Linux",4,B.Tech,None,Cybersecurity Analyst,2,Average
"React, SQL",8,B.Sc,Deep Learning Specialization,Software Engineer,8,Strong
"SQL, Java, C++",9,B.Tech,AWS Certified,Software Engineer,6,Strong
"Pytorch, TensorFlow",9,B.Sc,Google ML,AI Researcher,7,Strong
"Networking, Cybersecurity, Ethical Hacking, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,6,Strong
"Pytorch, TensorFlow, NLP",4,M.Tech,Google ML,AI Researcher,10,Strong
"Java, SQL, React",3,MBA,AWS Certified,Software Engineer,8,Strong
"Machine Learning, Python, SQL",2,PhD,AWS Certified,Data Scientist,5,Average
"NLP, TensorFlow",2,B.Sc,AWS Certified,AI Researcher,10,Strong
"Networking, Cybersecurity",3,PhD,None,Cybersecurity Analyst,4,Average
"Python, TensorFlow, NLP, Pytorch",4,B.Sc,None,AI Researcher,6,Strong
"C++, SQL, Java",6,PhD,AWS Certified,Software Engineer,8,Strong
"Python, TensorFlow",0,MBA,Google ML,AI Researcher,1,Weak
"NLP, TensorFlow, Python, Pytorch",1,MBA,Google ML,AI Researcher,2,Average
"C++, SQL, Java",0,M.Tech,AWS Certified,Software Engineer,0,Weak
"Python, TensorFlow",6,B.Sc,Google ML,AI Researcher,2,Strong
"C++, SQL, React, Java",8,PhD,Deep Learning Specialization,Software Engineer,5,Strong
"Networking, Ethical Hacking, Linux, Cybersecurity",4,PhD,None,Cybersecurity Analyst,2,Average
"SQL, Machine Learning",4,MBA,Google ML,Data Scientist,5,Strong
"Pytorch, TensorFlow, Python, NLP",4,M.Tech,Google ML,AI Researcher,3,Strong
"SQL, Deep Learning",4,PhD,None,Data Scientist,8,Strong
"Cybersecurity, Networking",3,PhD,None,Cybersecurity Analyst,9,Strong
"Python, Machine Learning",8,B.Tech,AWS Certified,Data Scientist,2,Strong
"Ethical Hacking, Cybersecurity",9,MBA,None,Cybersecurity Analyst,6,Strong
"C++, Java, SQL, React",2,M.Tech,AWS Certified,Software Engineer,0,Average
"Python, Deep Learning, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,9,Strong
"Machine Learning, Python, SQL",10,B.Sc,None,Data Scientist,5,Strong
"SQL, Machine Learning, Deep Learning",3,PhD,None,Data Scientist,2,Average
"Pytorch, Python, NLP",2,B.Tech,None,AI Researcher,4,Average
"React, C++",7,M.Tech,AWS Certified,Software Engineer,10,Strong
"Linux, Networking, Cybersecurity",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,Average
"Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,2,Average
"SQL, Machine Learning, Deep Learning, Python",5,PhD,AWS Certified,Data Scientist,10,Strong
"C++, Java, React",5,MBA,AWS Certified,Software Engineer,10,Strong
"Networking, Ethical Hacking",1,PhD,Google ML,Cybersecurity Analyst,8,Average
"React, Java, C++",5,B.Tech,Google ML,Software Engineer,0,Strong
"Ethical Hacking, Linux, Networking",3,M.Tech,None,Cybersecurity Analyst,3,Average
"Cybersecurity, Ethical Hacking",6,MBA,AWS Certified,Cybersecurity Analyst,8,Strong
"Ethical Hacking, Linux, Networking",5,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,5,Strong
"Deep Learning, SQL, Machine Learning",6,PhD,None,Data Scientist,2,Strong
"Pytorch, Python, TensorFlow",5,MBA,AWS Certified,AI Researcher,6,Strong
"TensorFlow, Pytorch, Python, NLP",7,B.Sc,AWS Certified,AI Researcher,4,Strong
"React, SQL, C++, Java",0,B.Sc,Google ML,Software Engineer,2,Weak
"Deep Learning, SQL, Python, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,1,Strong
"Pytorch, NLP, TensorFlow",7,B.Sc,Deep Learning Specialization,AI Researcher,2,Strong
"Java, C++, React",0,PhD,Deep Learning Specialization,Software Engineer,2,Weak
"NLP, TensorFlow",6,B.Tech,Google ML,AI Researcher,10,Strong
"NLP, Pytorch, Python",2,B.Sc,AWS Certified,AI Researcher,10,Strong
"NLP, Pytorch, TensorFlow",2,PhD,Deep Learning Specialization,AI Researcher,3,Average
"C++, React, Java, SQL",1,M.Tech,None,Software Engineer,3,Weak
"Cybersecurity, Networking, Linux",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,2,Strong
"Deep Learning, Python, SQL",4,B.Tech,None,Data Scientist,3,Average
"React, C++, SQL, Java",9,PhD,Deep Learning Specialization,Software Engineer,9,Strong
"Machine Learning, Python, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,1,Weak
"Python, Pytorch, TensorFlow",9,MBA,AWS Certified,AI Researcher,1,Strong
"C++, Java",5,B.Tech,Deep Learning Specialization,Software Engineer,0,Average
"Python, Pytorch, TensorFlow, NLP",6,PhD,Deep Learning Specialization,AI Researcher,4,Strong
"Pytorch, Python, TensorFlow",0,B.Tech,None,AI Researcher,4,Weak
"NLP, TensorFlow, Pytorch, Python",6,B.Tech,Google ML,AI Researcher,0,Strong
"Deep Learning, SQL",1,MBA,Google ML,Data Scientist,6,Average
"Ethical Hacking, Linux, Cybersecurity, Networking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,10,Strong
"Machine Learning, Deep Learning, SQL",6,M.Tech,None,Data Scientist,7,Strong
"SQL, Java, React",2,B.Tech,None,Software Engineer,4,Average
"SQL, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,1,Strong
"SQL, Deep Learning, Python",0,B.Tech,Google ML,Data Scientist,5,Average
"Python, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,8,Strong
"Ethical Hacking, Cybersecurity",0,MBA,AWS Certified,Cybersecurity Analyst,4,Weak
"React, SQL, Java, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,4,Strong
"Python, Deep Learning, SQL, Machine Learning",9,MBA,None,Data Scientist,0,Strong
"SQL, Python",8,MBA,AWS Certified,Data Scientist,6,Strong
"Networking, Linux, Cybersecurity, Ethical Hacking",6,PhD,Google ML,Cybersecurity Analyst,8,Strong
"TensorFlow, Pytorch, Python",9,PhD,Google ML,AI Researcher,2,Strong
"SQL, Machine Learning",1,PhD,Deep Learning Specialization,Data Scientist,4,Average
"Python, Pytorch, TensorFlow",0,MBA,Deep Learning Specialization,AI Researcher,6,Average
"Machine Learning, Deep Learning, Python, SQL",4,B.Sc,None,Data Scientist,8,Strong
"TensorFlow, Python, Pytorch, NLP",2,PhD,Deep Learning Specialization,AI Researcher,3,Average
"Python, SQL, Deep Learning, Machine Learning",10,M.Tech,Deep Learning Specialization,Data Scientist,8,Strong
"SQL, C++, Java",6,B.Sc,None,Software Engineer,4,Strong
"Deep Learning, Machine Learning, Python",10,B.Tech,None,Data Scientist,4,Strong
"Java, React, C++",10,M.Tech,None,Software Engineer,5,Strong
"Python, NLP, Pytorch, TensorFlow",6,PhD,Deep Learning Specialization,AI Researcher,3,Strong
"Python, SQL",0,B.Tech,Google ML,Data Scientist,10,Average
"SQL, C++",7,M.Tech,Deep Learning Specialization,Software Engineer,5,Strong
"Ethical Hacking, Cybersecurity",5,PhD,Google ML,Cybersecurity Analyst,5,Strong
"Linux, Ethical Hacking",5,B.Tech,AWS Certified,Cybersecurity Analyst,7,Strong
"Python, Pytorch, TensorFlow, NLP",9,M.Tech,None,AI Researcher,9,Strong
"Python, Deep Learning",9,B.Tech,AWS Certified,Data Scientist,1,Strong
"Networking, Linux, Ethical Hacking, Cybersecurity",7,PhD,None,Cybersecurity Analyst,7,Strong
"TensorFlow, NLP",3,B.Tech,Google ML,AI Researcher,10,Strong
"Linux, Cybersecurity",9,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,7,Strong
"Java, C++, SQL",10,MBA,None,Software Engineer,1,Strong
"Deep Learning, Machine Learning, SQL, Python",1,PhD,None,Data Scientist,8,Average
"SQL, Deep Learning, Python, Machine Learning",6,MBA,Google ML,Data Scientist,8,Strong
"SQL, Deep Learning, Python, Machine Learning",7,M.Tech,None,Data Scientist,7,Strong
"TensorFlow, Python, NLP, Pytorch",10,B.Sc,Deep Learning Specialization,AI Researcher,2,Strong
"React, Java, C++, SQL",3,PhD,Google ML,Software Engineer,2,Average
"Networking, Cybersecurity, Ethical Hacking",7,PhD,None,Cybersecurity Analyst,0,Strong
"Ethical Hacking, Networking, Cybersecurity",1,M.Tech,None,Cybersecurity Analyst,9,Average
"SQL, Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,8,Strong
"Machine Learning, SQL, Python, Deep Learning",7,B.Tech,Google ML,Data Scientist,0,Strong
"TensorFlow, NLP, Pytorch, Python",8,M.Tech,Google ML,AI Researcher,6,Strong
"Networking, Ethical Hacking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,7,Strong
"Deep Learning, Python, SQL, Machine Learning",8,MBA,None,Data Scientist,5,Strong
"SQL, C++",1,B.Tech,AWS Certified,Software Engineer,10,Strong
"SQL, C++, Java, React",4,MBA,None,Software Engineer,3,Strong
"TensorFlow, Python, NLP, Pytorch",9,M.Tech,Google ML,AI Researcher,9,Strong
"Python, Deep Learning, Machine Learning, SQL",8,B.Tech,None,Data Scientist,2,Strong
"Python, Machine Learning, Deep Learning",9,M.Tech,AWS Certified,Data Scientist,1,Strong
"SQL, Machine Learning, Python, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,4,Strong
"Linux, Ethical Hacking",8,MBA,AWS Certified,Cybersecurity Analyst,9,Strong
"Deep Learning, SQL, Machine Learning, Python",3,B.Sc,AWS Certified,Data Scientist,9,Strong
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,0,Weak
"SQL, Python, Machine Learning, Deep Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,7,Strong
"TensorFlow, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,10,Strong
"Ethical Hacking, Networking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,4,Strong
"Linux, Cybersecurity, Ethical Hacking",8,MBA,Deep Learning Specialization,Cybersecurity Analyst,9,Strong
"Java, React, SQL",4,PhD,Deep Learning Specialization,Software Engineer,7,Strong
"TensorFlow, NLP, Pytorch, Python",1,PhD,AWS Certified,AI Researcher,3,Average
"SQL, Machine Learning, Python, Deep Learning",4,B.Sc,Deep Learning Specialization,Data Scientist,3,Strong
"Networking, Linux, Ethical Hacking",4,PhD,None,Cybersecurity Analyst,2,Average
"Cybersecurity, Ethical Hacking, Linux, Networking",1,B.Sc,Google ML,Cybersecurity Analyst,2,Average
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,None,Cybersecurity Analyst,2,Weak
"SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,8,Strong
"Java, C++, React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,10,Strong
"Java, C++, React, SQL",6,B.Tech,Deep Learning Specialization,Software Engineer,4,Strong
"Linux, Cybersecurity, Ethical Hacking",4,MBA,AWS Certified,Cybersecurity Analyst,1,Average
"TensorFlow, Python",9,PhD,AWS Certified,AI Researcher,1,Strong
"React, SQL",8,M.Tech,AWS Certified,Software Engineer,6,Strong
"TensorFlow, NLP, Python",10,M.Tech,Google ML,AI Researcher,9,Strong
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,None,Cybersecurity Analyst,7,Strong
"Pytorch, NLP, Python, TensorFlow",1,MBA,None,AI Researcher,9,Strong
"React, C++, Java, SQL",6,B.Tech,Google ML,Software Engineer,6,Strong
"Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,1,Average
"Python, SQL, Machine Learning",3,MBA,Deep Learning Specialization,Data Scientist,2,Average
"Ethical Hacking, Cybersecurity, Networking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,9,Strong
"Java, SQL, C++",8,PhD,None,Software Engineer,3,Strong
"Deep Learning, Python",9,B.Tech,Google ML,Data Scientist,8,Strong
"React, C++",7,PhD,None,Software Engineer,10,Strong
"Ethical Hacking, Networking, Cybersecurity, Linux",8,B.Sc,None,Cybersecurity Analyst,1,Strong
"Machine Learning, Python, SQL",2,MBA,Deep Learning Specialization,Data Scientist,4,Average
"Cybersecurity, Networking, Linux, Ethical Hacking",10,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,9,Strong
"Python, Pytorch",5,MBA,AWS Certified,AI Researcher,7,Strong
"Python, SQL, Deep Learning",3,MBA,AWS Certified,Data Scientist,10,Strong
"Ethical Hacking, Linux",2,MBA,None,Cybersecurity Analyst,7,Average
"Deep Learning, Machine Learning, SQL",10,B.Tech,None,Data Scientist,7,Strong
"React, SQL, C++, Java",8,B.Sc,None,Software Engineer,10,Strong
"Deep Learning, Machine Learning",4,B.Tech,Google ML,Data Scientist,2,Average
"Python, SQL, Deep Learning",2,PhD,AWS Certified,Data Scientist,8,Strong
"SQL, Java, React",1,M.Tech,AWS Certified,Software Engineer,3,Average
"Machine Learning, Python, SQL",2,B.Tech,None,Data Scientist,4,Average
"Ethical Hacking, Linux, Networking",7,B.Sc,None,Cybersecurity Analyst,10,Strong
"Python, Pytorch, NLP, TensorFlow",1,B.Sc,Google ML,AI Researcher,2,Average
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,AWS Certified,Cybersecurity Analyst,5,Strong
"Python, Pytorch, TensorFlow, NLP",9,M.Tech,None,AI Researcher,5,Strong
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,4,Strong
"Machine Learning, Python, SQL, Deep Learning",6,M.Tech,AWS Certified,Data Scientist,2,Strong
"SQL, Deep Learning, Python",5,MBA,Deep Learning Specialization,Data Scientist,5,Strong
"Networking, Cybersecurity, Linux",9,B.Tech,Google ML,Cybersecurity Analyst,0,Strong
"Machine Learning, SQL, Deep Learning",10,PhD,None,Data Scientist,0,Strong
"Linux, Ethical Hacking, Networking",4,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,9,Strong
"Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,10,Strong
"TensorFlow, Pytorch, Python, NLP",6,PhD,AWS Certified,AI Researcher,8,Strong
"Linux, Networking, Cybersecurity",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,6,Strong
"SQL, Python, Machine Learning, Deep Learning",3,B.Sc,None,Data Scientist,8,Strong
"Networking, Cybersecurity, Ethical Hacking",8,B.Tech,None,Cybersecurity Analyst,4,Strong
"TensorFlow, Python, NLP",6,PhD,Deep Learning Specialization,AI Researcher,2,Strong
"Python, SQL, Machine Learning",10,MBA,Google ML,Data Scientist,2,Strong
"Pytorch, Python, TensorFlow, NLP",5,MBA,Google ML,AI Researcher,5,Strong
"Java, React, SQL, C++",6,M.Tech,Google ML,Software Engineer,5,Strong
"TensorFlow, NLP, Pytorch",6,PhD,AWS Certified,AI Researcher,9,Strong
"SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,10,Strong
"Java, C++, React, SQL",8,PhD,Google ML,Software Engineer,0,Strong
"Linux, Cybersecurity",8,MBA,AWS Certified,Cybersecurity Analyst,7,Strong
"Machine Learning, Python, Deep Learning, SQL",9,B.Tech,Google ML,Data Scientist,5,Strong
"C++, React, SQL, Java",5,B.Sc,AWS Certified,Software Engineer,10,Strong
"Python, SQL, Machine Learning, Deep Learning",4,B.Tech,AWS Certified,Data Scientist,5,Strong
"Machine Learning, Deep Learning, Python",3,PhD,None,Data Scientist,10,Strong
"TensorFlow, NLP, Python",0,M.Tech,AWS Certified,AI Researcher,2,Weak
"Deep Learning, Machine Learning, SQL, Python",2,PhD,None,Data Scientist,1,Weak
"Cybersecurity, Ethical Hacking, Networking, Linux",6,PhD,Google ML,Cybersecurity Analyst,1,Strong
"React, SQL",9,B.Tech,AWS Certified,Software Engineer,6,Strong
"Java, C++",8,M.Tech,AWS Certified,Software Engineer,0,Strong
"Pytorch, TensorFlow, Python, NLP",4,B.Tech,None,AI Researcher,5,Strong
"SQL, Machine Learning",9,PhD,AWS Certified,Data Scientist,3,Strong
"TensorFlow, Pytorch, NLP, Python",4,B.Sc,AWS Certified,AI Researcher,10,Strong
"Machine Learning, Deep Learning",9,PhD,None,Data Scientist,8,Strong
"Machine Learning, Deep Learning, SQL",3,PhD,AWS Certified,Data Scientist,7,Strong
"Ethical Hacking, Cybersecurity, Linux",1,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,2,Weak
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,5,Strong
"Python, Machine Learning, Deep Learning, SQL",7,M.Tech,Google ML,Data Scientist,5,Strong
"Cybersecurity, Networking",7,M.Tech,Google ML,Cybersecurity Analyst,4,Strong
"Pytorch, TensorFlow, Python",8,M.Tech,None,AI Researcher,5,Strong
"Ethical Hacking, Networking",6,PhD,Google ML,Cybersecurity Analyst,5,Strong
"SQL, Java, React, C++",0,MBA,None,Software Engineer,4,Weak
"SQL, Java, C++",3,M.Tech,None,Software Engineer,6,Strong
"NLP, TensorFlow, Python, Pytorch",6,MBA,AWS Certified,AI Researcher,0,Strong
"React, SQL, Java, C++",2,M.Tech,Deep Learning Specialization,Software Engineer,3,Average
"TensorFlow, NLP, Python, Pytorch",8,M.Tech,Google ML,AI Researcher,7,Strong
"Java, SQL",2,MBA,None,Software Engineer,9,Strong
"Networking, Cybersecurity, Linux",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,6,Strong
"Networking, Ethical Hacking, Cybersecurity, Linux",2,MBA,None,Cybersecurity Analyst,0,Weak
"Pytorch, NLP, Python, TensorFlow",7,M.Tech,AWS Certified,AI Researcher,10,Strong
"Deep Learning, Machine Learning, SQL, Python",6,PhD,Deep Learning Specialization,Data Scientist,10,Strong
"Pytorch, Python",9,PhD,Deep Learning Specialization,AI Researcher,7,Strong
"Deep Learning, Machine Learning",4,PhD,AWS Certified,Data Scientist,0,Average
"Linux, Ethical Hacking",10,MBA,Google ML,Cybersecurity Analyst,9,Strong
"Python, TensorFlow, NLP",6,B.Tech,None,AI Researcher,5,Strong
"Python, Deep Learning, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,6,Average
"Python, TensorFlow",5,B.Tech,Google ML,AI Researcher,0,Average
"Networking, Linux, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,6,Strong
"Machine Learning, Deep Learning",6,PhD,AWS Certified,Data Scientist,0,Strong
"NLP, Pytorch, TensorFlow",6,M.Tech,Deep Learning Specialization,AI Researcher,0,Strong
"Pytorch, Python, NLP",10,M.Tech,None,AI Researcher,3,Strong
"Deep Learning, SQL, Machine Learning",3,B.Tech,None,Data Scientist,3,Average
"Linux, Networking, Cybersecurity, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,9,Strong
"SQL, Python",7,PhD,None,Data Scientist,1,Strong
"TensorFlow, Python, NLP, Pytorch",0,M.Tech,None,AI Researcher,4,Weak
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,None,Data Scientist,1,Strong
"Deep Learning, Python",5,MBA,AWS Certified,Data Scientist,3,Strong
"Cybersecurity, Networking, Ethical Hacking",4,MBA,None,Cybersecurity Analyst,9,Strong
"Java, SQL, React, C++",9,B.Sc,Google ML,Software Engineer,9,Strong
"Ethical Hacking, Networking",6,PhD,AWS Certified,Cybersecurity Analyst,2,Strong
"TensorFlow, Python",7,B.Sc,Deep Learning Specialization,AI Researcher,1,Strong
"Python, Machine Learning, Deep Learning, SQL",1,PhD,Google ML,Data Scientist,6,Average
"Cybersecurity, Networking, Ethical Hacking",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,2,Strong
"C++, React, SQL, Java",5,PhD,Deep Learning Specialization,Software Engineer,5,Strong
"Machine Learning, SQL",5,B.Sc,Deep Learning Specialization,Data Scientist,7,Strong
"C++, SQL, Java, React",7,B.Sc,None,Software Engineer,10,Strong
"SQL, C++, Java",1,M.Tech,None,Software Engineer,5,Average
"Pytorch, TensorFlow, NLP, Python",1,M.Tech,None,AI Researcher,0,Weak
"Python, Machine Learning",2,B.Sc,Deep Learning Specialization,Data Scientist,1,Weak
"Linux, Cybersecurity",9,B.Sc,None,Cybersecurity Analyst,7,Strong
"SQL, Java, C++",1,M.Tech,Deep Learning Specialization,Software Engineer,10,Strong
"Machine Learning, Deep Learning, Python",10,M.Tech,Google ML,Data Scientist,10,Strong
"Python, SQL, Machine Learning",3,PhD,Google ML,Data Scientist,1,Average
"Machine Learning, SQL",2,MBA,Deep Learning Specialization,Data Scientist,7,Strong
"Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,8,Strong
"Pytorch, TensorFlow",5,PhD,AWS Certified,AI Researcher,4,Strong
"SQL, C++, Java, React",3,M.Tech,Google ML,Software Engineer,0,Average
"Networking, Linux, Cybersecurity",1,PhD,Google ML,Cybersecurity Analyst,8,Strong
"Linux, Cybersecurity, Networking, Ethical Hacking",6,B.Tech,AWS Certified,Cybersecurity Analyst,6,Strong
"NLP, TensorFlow, Python",2,MBA,None,AI Researcher,2,Weak
"Machine Learning, Deep Learning, SQL, Python",2,PhD,AWS Certified,Data Scientist,6,Strong
"Java, React, SQL, C++",3,PhD,None,Software Engineer,4,Average
"Ethical Hacking, Cybersecurity, Networking",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,1,Average
"SQL, Java, React",4,PhD,AWS Certified,Software Engineer,5,Strong
"Cybersecurity, Networking, Linux, Ethical Hacking",1,B.Sc,None,Cybersecurity Analyst,8,Average
"Python, Deep Learning, Machine Learning, SQL",2,B.Tech,Deep Learning Specialization,Data Scientist,3,Average
"Pytorch, TensorFlow, NLP, Python",10,B.Sc,Google ML,AI Researcher,3,Strong
"Linux, Ethical Hacking, Networking",5,B.Sc,AWS Certified,Cybersecurity Analyst,0,Strong
"Deep Learning, Machine Learning",7,M.Tech,AWS Certified,Data Scientist,9,Strong
"NLP, Pytorch, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,9,Strong
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Deep Learning Specialization,Data Scientist,5,Strong
"Networking, Cybersecurity, Ethical Hacking, Linux",4,M.Tech,Google ML,Cybersecurity Analyst,8,Strong
"SQL, Python, Machine Learning, Deep Learning",7,B.Sc,AWS Certified,Data Scientist,2,Strong
"Deep Learning, Python, SQL, Machine Learning",3,B.Sc,AWS Certified,Data Scientist,5,Strong
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,None,Cybersecurity Analyst,4,Strong
"Cybersecurity, Networking",7,MBA,None,Cybersecurity Analyst,6,Strong
"C++, SQL, Java",7,B.Sc,None,Software Engineer,5,Strong
"Machine Learning, SQL, Python",3,M.Tech,Google ML,Data Scientist,9,Strong
"SQL, Machine Learning, Python",3,B.Tech,Google ML,Data Scientist,3,Average
"SQL, Deep Learning, Python",9,B.Sc,Google ML,Data Scientist,0,Strong
"Python, NLP, Pytorch, TensorFlow",5,B.Sc,Deep Learning Specialization,AI Researcher,9,Strong
